timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
241683,115.56,4.137651,2.778284e+07,95,7,-63,1318,16.097,62,4,-34,27,-2084,3610,704,794,717,679
159792,109.404,6.258136,2.802452e+07,103,15,-63,1306,16.195,74,6,-30,234,-1838,3285,715,770,659,653
199433,104.58,5.014215,2.818431e+07,105,15,-63,1305,16.186,75,15,-32,95,-1887,3324,707,767,658,664
200693,104.58,4.982735,2.838374e+07,105,15,-63,1305,16.23,68,7,-34,80,-1879,3516,683,752,695,666
199379,100.512,5.015573,2.858444e+07,104,15,-61,1305,16.177,75,16,-33,-32,-1641,3497,661,812,672,652
580168,101.196,1.723639,702081,-1,1,-1,1000,18.535,-1,0,0,-63,-88,2042,114,107,117,117
240251,101.412,4.162314,1282249,-1,0,-1,1000,18.526,-1,0,-1,-60,-89,2042,113,113,118,115
169804,100.368,5.889143,1522500,-1,0,-1,1000,18.535,-1,0,0,-60,-90,2041,116,117,118,126
200653,151.272,4.983728,187702,-1,1,-1,1000,18.509,0,0,1,-55,-83,2036,128,107,108,116
189754,175.068,5.269981,388355,-1,1,-1,1000,18.553,0,0,1,-72,-89,2040,130,107,116,126
10288,197.856,97.20062,578109,-1,0,-1,1000,18.535,0,0,1,-60,-95,2039,130,117,107,128
270080,197.856,3.702607,588397,-1,0,-1,1000,18.526,0,0,-1,-59,-94,2039,112,119,117,112
130836,212.868,7.643156,858477,-1,0,-1,1000,18.509,0,0,1,-69,-87,2047,134,121,107,123
10328,222.912,96.82417,989313,-1,0,-1,1000,18.517,0,0,0,-62,-93,2042,119,116,107,117
189706,222.912,5.271315,999641,-1,0,-1,1000,18.535,0,0,0,-64,-90,2042,125,113,115,120
200300,236.124,4.992511,1189347,-1,0,-1,1000,18.535,0,0,1,-61,-93,2040,137,117,110,126
200282,236.124,4.99296,1389647,-1,1,-1,1000,18.544,-1,0,1,-62,-91,2042,127,108,118,128
190366,239.508,5.253039,1589929,-1,1,-1,1000,18.509,-1,0,-1,-58,-96,2034,108,119,120,112
70355,241.416,14.21363,1780295,-1,1,-1,1000,18.5,-1,0,0,-63,-87,2041,125,107,119,124
130023,241.416,7.690947,1850650,-1,1,-1,1000,18.5,-1,0,0,-61,-95,2043,118,108,125,126
9406,243.288,106.3151,1980673,-1,1,-1,1000,18.526,0,0,0,-63,-95,2045,125,116,116,121
200290,243.648,4.99276,1990079,-1,1,-1,1000,18.526,0,0,0,-64,-94,2045,121,111,110,110
190479,243.648,5.249923,2190369,0,0,-1,1000,18.509,0,0,0,-66,-91,2039,122,113,109,115
9098,243.972,109.9143,2380848,0,1,-1,1007,18.579,-1,0,0,-59,-91,2039,130,127,132,132
200817,243.972,4.979658,2389946,0,1,-1,1007,18.579,0,0,1,-61,-91,2040,139,112,115,132
